Name,Details,Matriculation Year,Placename
"Chamber, Lawrence","of London, gent. Christ Church, matric. 7 Nov., 1606, aged 15. Memo.: Lawrence de la Chambre, of Lewes, gent. (son of Richard, of Redeville), of the Inner Temple 1609. See Foster's Inns of Court Reg.",1606,london
"Chamberlayne, John","of co. Gloucester, pleb. Magdalen Coll., matric. 26 June, 1621, aged 17; B.A. from Magdalen Hall 20 Feb., 1622-3, M.A. 7 July, 1625, B.Med., and licenced to practice medicine 22 March, 1630-1.",1621,gloucester
"Chamberlaine, John","1s. Edmund, of Maugersbury, co. Gloucester, arm. Magdalen Coll., matric. 2 July, 1624, aged 15; of Maugersbury, admitted to the Inner Temple 1626 (son of Edward), 'eminent for his loyalty in the Civil Wars, compounded for his estate, died in 1668.' See Foster's Inns of Court Reg. [20]",1624,gloucester
"Chamberlane, Junius","of Middlesex, pleb. Exeter Coll., matric. 23 Oct., 1618, aged 18; B.A. 21 June, 1620, born 20 Aug., 1601 (son of John, citizen and clothworker), entered Merchant Taylors' School, 1613, by the Christian name of Younge. See Robinson, i. 73 [30]",1618,middlesex
"Chamberlayne, William","2s. Peter, of London, gent. Broadgates Hall, matric. 9 May, 1623, aged 16, brother of Nathaniel and of Robert 1635.",1623,london
"Chambers, Humfrey","of Somerset, gent. University Coll., matric. 17 Nov., 1615, aged 16; B.A. 15 Oct., 1618, M.A. 6 July, 1621, B.D. 22 Feb., 1630-1, created D.D. 12 April, 1648, rector of Claverton, Somerset, 1623, one of the assembly of divines, 'and maintained a horse and man at his own charge in actual service against the king,' rector of Strichley, Salop, 1648, rector of Pewsey, Wilts, 1646, 'when the act of uniformity was published he quitted his living and his life together,' buried in Pewsey Church 8 Sept., 1662, 'with no other ceremony than that we would use to a dog.' See Ath., iii. 610; Calamy, iii. 370; & Foster's Index Ecclesiasticus.",1615,somerset,salop,wilts
"Chambers, Humphrey","of co. Gloucester, gent. St. Alban Hall, matric. 8 Nov., 1616, aged 17.",1616,gloucester
"Chambers, Thomas","of co. Worcester, gent. Balliol Coll., matric. 6 July, 1613, aged 19; B.A. 4 May, 1615, fellow, M.A. 10 June, 1619, will and admon. bond at Oxford dated 15 Jan., 1629-30.",1613,worcester,oxford
"Chambers, William","of London, pleb. Brasenose Coll., matric. 2 Nov. 1621, aged 17; B.A. 7 July, 1624, M.A. 5 July, 1627, vicar of East Marden, Sussex, 1626. See Foster's Index Ecclesiasticus.",1621,london,sussex
"Chambre, Arthur","of Salop, arm. Lincoln Coll., matric. 21 Nov., 1617, aged 17; of Petton, son of Arthur and father of Henry.",1617,salop,lincoln
"Chambre, Calcot","of Oxon, arm. Trinity Coll., matric. 26 Oct., 1621, aged 19; of Williamscott, Oxon, student of Gray's Inn 1623 (as son and heir of Calcott, of Williamscott, Oxon), M.P. Banbury 1626. See Foster's Gray's Inn Reg. [25]",1621,oxon
"Champion, Richard","of co. Southants, pleb. Oriel Coll., matric. 10 Nov., 1621, aged 18; B.A. 17 June, 1624, probably son of Richard, of the Isle of Wight. See Berry's Hants.",1621,southants,wight,hants
"Champnes, John","of Devon, arm. fil. nat. max. Exeter Coll., matric. 17 Dec., 1619, aged 18; bar.-at-law, Middle Temple, 1631 (as son and heir of William, of Yarnscombe, Devon, esq.), died 9 Dec., 1681. See Foster's Judges and Barristers.",1619,devon
"Champneis, John","s. Justinian, of Wrotham, Kent, gent. Magdalen Hall, matric. 31 Jan., 1622-3, aged 17; B.A. 22 Feb., 1624-5, M.A. 1 June, 1627, rector of Digswell, Herts, buried there 1645.",1622,kent,herts
"Chandler, John","of co. Southampton, pleb. Magdalen Hall, matric. 1 July, 1603, aged 18. See Berry's Hants, 52.",1603,southampton,hants
"Chandler, Richard","of co. Worcester, pleb. Hart Hall, matric. 16 Nov., 1604, aged 19; B.A. 16 April, 1608, M.A. 8 July, 1612, (son of Robert, of Great Comberton, co. Worcester), rector of Wilton St. Mary, Wilts, 1621, and of Ditchampton 1621, canon of Sarum 1634, father of Robert 1636. See Foster's Index Ecclesiasticus.",1604,worcester,wilts,sarum
"Chandler, Thomas (Chaundler)","of Bucks, pleb. New Coll., matric. 11 Oct., 1605, aged 19; B.A. 2 May, 1609, M.A. 16 Jan., 1612-13, rector of Thruxton, Hants, 1613. See Foster's Index Ecclesiasticus.",1605,bucks,hants
"Chandler, William","of co. Southampton, pleb. Magdalen Coll., matric. 16 June, 1610, aged 20; clerk 1609-15, B.A. 6 July, 1610. See Bloxam, ii. 47.",1610,southampton
"Chandler, William (Chantler)","of co. Leicester, gent. Lincoln Coll., matric. 9 May, 1617, aged 17; B.A. 23 Feb., 1621-2.",1617,leicester,lincoln
"Chandler, William","s. William, of Stratford-on-Avon, co. Warwick, pleb. St. John's Coll., matric. 23 Jan., 1623-4, aged 19. [5]",1623,warwick
"Chandler, William (Chaundler)","s. George, of Winchester, Hants, pleb. Magdalen Hall., matric. 31 Jan., 1622-3, aged 17; B.A. 14 Feb., 1625-6, M.A. 25 June, 1628, rector of Stopham, Sussex, 1632, and of Sullington 1640, etc. See Foster's Index Ecclesiasticus.",1622,winchester,hants,sussex
"Chanon, William","of Devon, pleb. Wadham Coll., matric. 21 Feb., 1616-17, aged 19; of the Inner Temple 1619, as of Tallaton, Devon, son of Philip of that place. See Foster's Inns of Court Reg.",1616,devon
"Chantrell, Thomas (Chauntrell)","s. John, of Lewes, Sussex, sacerd. Magdalen Hall, matric. 2 July, 1624, aged 14.",1624,sussex
"Chapman, Joseph (Chepman)","of Cornwall, pleb. Magdalen Hall, matric. 23 June, 1621, aged 16; B A. from St. Alban Hall 6 Nov., 1624, M.A. 6 June, 1627, inventory at Oxford dated 22 July, 1657, brother of Edward 1632.",1621,cornwall,oxford
"Chapman, Peter","of Devon, s. Peter, of Oxford (city), pleb. Exeter Coll., matric. 13 Dec., 1622, aged 18; B.A. 22 June, 1626, M.A. 30 April, 1629.",1622,devon,oxford
"Chapman, William","of Somerset, pleb. Magdalen Hall, matric. 16 Nov., 1621, aged 16; B.A. from Corpus Christi Coll. 22 Feb., 1624-5, M.A. 13 March, 1627-8, rector of Bawdrip, Somerset, 1632. See Foster's Index Ecclesiasticus. [25]",1621,somerset
"Chapple, Bartholomew","s. James, of Milverton, Somerset, gent. Exeter Coll., matric. 13 Dec., 1622, aged 19; B.A. 22 Feb., 1624-5, M.A. 6 July, 1627, incorp. at Cambridge 1628.",1622,somerset,cambridge
"Chappell, Richard (Chapell)","of Devon, pleb. Broadgates Hall, matric. 10 May, 1616, aged 18.",1616,devon
"Charlton, Robert","of Salop, arm. Broadgates Hall, matric. 31 Jan., 1605-6, aged 15; of Gray's Inn 1608, as son of Andrew, of Apley, Salop, esq. See Foster's Gray's Inn Reg.",1605,salop
"Chase, Gamaliel","of Devon, gent. St. Mary Hall, matric. 1 Dec., 1609, aged 15; B.A. from Corpus Christi Coll. 16 Dec., 1614, M.A. 17 April, 1618 (incorp. at Cambridge 1619), B.D. 15 July, 1625 (as Chace), rector of Wambrooke, Dorset, 1621, vicar of Yarcombe, Devon, 1628, father of John 1642. See also John same date & Foster's Index Ecclesiasticus.",1609,devon,cambridge,dorset
"Chase, John","of Devon, gent. St. Mary Hall, matric. 1 Dec., 1609, aged 16; rector of West Ogwell, Devon, 1616. See Gamaliel same date & Foster's Index Ecclesiasticus.",1609,devon
"Chase, Thomas","of co. Southants, pleb. Magdalen Hall, matric. 28 Nov., 1606, aged 17.",1606,southants
"Chauncy, Toby","1s. William, of Edgcott, Northants, 'militis.' Exeter Coll., matric. 13 Dec., 1622, aged 16 (called Tobias in Mat. Reg.), of Edgcott, born 18 Dec., 1605, died 22 Aug., 1662.",1622,northants
"Chauncy, William","of Northants, arm. Exeter Coll., matric. 20 July, 1621, aged 17.",1621,northants
"Chaworth, (Sir) Richard","of Notts. Christ Church, matric. 12 Oct., 1621, aged 18 (as arm.); B.A. 20 June, 1622, M.A. 20 June, 1625, proctor 1632, B.C.L. 3 March, 1633-4, D. C. L. 2 July, 1640, chancellor of the diocese of London 1637-63, and of Chichester 1660, vicar-general 1663, M.P. Midhurst 1640 (L. P.), sat from 6 Jan., 1641, till void 15 Feb. following, knighted 18 Dec., 1663, buried at Richmond, Surrey, June or July, 1672. See Fasti, i. 515.",1621,notts,london,surrey
"Chebsey, William","of co. Warwick, pleb. Magdalen Hall, matric. 16 June, 1620, aged 19; B.A. 28 June, 1620, vicar of Wragby, co. Lincoln, 1631, rector of Halton on Holgate, 1638, and of Holton in Beckering, 1638. See Foster's Index Ecclesiasticus.",1620,warwick,lincoln
"Chedell, Rowland","of Isle of Anglesea, pleb. Jesus Coll., matric. 24 Nov., 1615, aged 17; B.A. 5 Feb., 1618-19, M.A. 6 June, 1621, B. & D. D. 30 June, 1632, incorp. at Cambridge; licenced 15 July, 1633, to marry Margery Chetle, of St. Clement Danes, widow; rector of Llandysnam, co. Anglesey, 1620, and of Llanfachell 1621, dean of Bangor 1625, rector of Llanfihangel-Itraith, co Merioneth, 1625, and treasurer of Bangor Cathedral 1625, rector of Llandegvan, co. Anglesea, 1626, and of Llanvaethlu, co. Anglesea, 1649. See Foster's Index Ecclesiasticus & Marriage Licences, ed. Foster.",1615,anglesea,cambridge,anglesey,merioneth
"Cheeke, John","of co. Southampton, arm. fil. nat. max. Brasenose Coll., matric. 28 Jan., 1619-20, aged 18; perhaps brother of Thomas 1610. See Berry's Hants, 98. [5]",1619,southampton,hants
"Cheeke, Thomas (Cheke)","of Isle of Wight, arm. Brasenose Coll., matric. 16 June, 1610, aged 20; of Newport, Isle of Wight, (son of Thomas, of Mottistone), M.P. Yarmouth (I.W.) 1614.",1610,wight
"Cheek, Thomas","s. Henry, of Petherton, Somerset, pleb. Wadham Coll., matric. 20 Feb., 1623-4, aged 17; B.A. 14 Feb., 1625-6, M.A. 25 June, 1628.",1623,somerset
"Cheshire, Thomas","of Cheshire, pleb. Brasenose Coll., matric. 28 June, 1616, aged 15; B.A. 26 Nov., 1619, 'an orthodox minister in London.' See Ath., iii. 35.",1616,cheshire
"Chetle, Richard (Chetell)","of co. Worcester, gent. Queen's Coll., matric. 20 Feb., 1606-7, aged 18; bar.-at-law, Middle Temple, 1617, as son and heir of Thomas, of Worcester, esq., one of these names examiner in Court of Chancery 1624-32, died about 1635. See Foster's Inns of Court Reg. [15]",1606,worcester
"Chetwode, John","of co. Chester, arm. Brasenose Coll., matric. 28 March, 1617, aged 17; probably father of Philip 1658. See Ormerod's Cheshire, i. 662.",1617,chester,cheshire
"Chetwode, John","of Northants, 'equitis fil.' Trinity Coll., matric. 15 Oct., 1619, aged 19, B.A. 8 Feb., 1620-1; M.A. from All Souls' Coll. 15 Oct., 1624 (? of Inner Temple 1619, as of Oakley, co. Stafford, M.P. 1653, and buried 25 April, 1667), brother of Thomas 1607.",1619,northants,stafford
"Chetwode, Robert","of Northants, 'militis fil.' Trinity Coll., matric. 8 May, 1607, aged 15; B.A. 14 June, 1610, bar.-at-law, Inner Temple, 1611, as of Warkworth, Northants, gent., half brother of the last named and brother of the next named. See Foster's Judges and Barristers.",1607,northants
"Chetwode, Thomas","of Northants, 'militis fil.' Trinity Coll., matric. 8 May, 1607, aged 12; B.A. 28 Jan., 1610-11, bar.-at-law, Gray's Inn, 1620, as son of Richard, of Warkworth, Northants, knt., and brother of John 1619. See Foster's Gray's Inn Reg.",1607,northants
"Chetwode, Tobias","of Northants, equitis fil. Trinity Coll., matric. 15 Oct., 1619, aged 14; brother of Robert and Thomas 1607.",1619,northants
"Chetwynd, Ralphe (Chetwind)","of co. Stafford, gent. Exeter Coll., matric. 17 Dec., 1619, aged 18; of Gray's Inn 1620 (as son of Thomas, of Rugeley, co. Stafford), father of Charles, of Salters Hall 1664. See Foster's Gray's Inn Reg.",1619,stafford
"Chetwynd, Thomas (Chetwind)","of co. Stafford, eq. aur. fil. 2. Exeter Coll., matric. 14 June, 1616, aged 17; of Church Eaton, admitted to Gray's Inn 1618 (as 2nd son of Walter, of Grendon, co. Warwick, knight), died unmarried 23 Oct., 1674, aged 75, brother of the next named. See Foster's Gray's Inn Reg. [5]",1616,stafford,warwick
"Chetwynd, Walter (Chetwind)","of co. Stafford, eq. aur. fil. nat. max. Exeter Coll., matric. 14 June, 1616, aged 18; of Gray's Inn 1618 (as son and heir of Walter, of Grendon, co. Warwick, knight), died 19 April, 1669, aged 72, brother of the last named. See Foster's Gray's Inn Reg.",1616,stafford,warwick
"Cheyne, William","of Dorset, pleb. Balliol Coll., matric. 28 June, 1604, aged 18, B.A. 20 May, 1606; M.A. from Broadgates Hall 8 July, 1612, rector of Manston, Dorset, 1614. See Foster's Index Ecclesiasticus. [20]",1604,dorset
"Cheynell, Francis (Chennell)","s. John, of Oxford (city), Med. Doc. Magdalen Hall, matric. 2 July, 1624, aged 16; B.A. from Balliol Coll. 1 Feb., 1626-7, fellow Merton Coll. 1629, M.A. 1 July, 1633, created B.D. 12 April, 1648, and D.D. 24 July, 1649, president of St. John's College 1648-50, Margaret professor of divinity 1648-52, one of the assembly of divines 1643, and one of the parliamentary visitors in 1647, elected canon of Worcester 1648, but never installed, vicar of Marston St. Laurence 1637, rector of Petworth, ejected after the restoration, baptized in St. Mary's, Oxon, 6 July, 1608, died at Preston, Sussex, Sept., 1665, father of John 1664. See Calamy, iii. 324; Ath., iii. 703; Fasti, ii. 3, 113; Baker's Northants, i. 643; O.H.S., iv. 285; Burrows & D.N.B.",1624,oxford,worcester,oxon,sussex,northants
"Cheyney, Thomas (Cheny)","of Sussex, gent. Brasenose Coll., matric. 22 June, 1604, aged 18.",1604,sussex
"Cheyney, William (Cheney)","of London, pleb. St. John's Coll., matric. 22 June, 1610, aged 16; B.A. 31 Jan., 1610-11. [20]",1610,london
"Chibalde, James","s. William, of London, sacerd. Magdalen Coll., matric. 2 July, 1624, aged 12, chorister 1624-31, B.A. 10 Dec., 1630; M.A. from Magdalen Hall 28 June, 1633, rector of St. Nicholas, Cole Abbey, 6 March, 1640-1 (on the death of his father), sequestered for his loyalty in the late rebellion. See Foster's Index Ecclesiasticus; Bloxam, i. 37; & Ath., ii. 674.",1624,london
"Chibnall, Antony","of Bucks, pleb. Magdalen Coll., matric. 26 June, 1621, aged 18; demy 1619-27, B.A. 11 Dec., 1622, M.A. 30 June, 1625 (incorp. at Cambridge 1627), fellow 1627-48, B.D. 28 Jan., 1633-4, vice-president 1641-2, expelled by the parliamentary visitors 1648, and imprisoned until 10 Oct. following. See Burrows & Bloxam, v. 103.",1621,bucks,cambridge
"Chicheley, John","of co. Cambridge, arm. St. Mary Hall, matric. 18 June, 1610, aged 18; fellow of All Souls' Coll., B.A. 10 Dec., 1612, son of Thomas, of Wimple.",1610,cambridge
"Chichester, John","(s. Hugh) of Devon, gent. Oriel Coll., matric. 9 Nov., 1621, aged 17, B.A. 21 June, 1625; M.A. from St. Alban Hall 25 June, 1628, rector of Widworthy, Devon, 1644, and of Horwood, Devon, 1644, and of Alverdiscott 1645, admon, granted 18 Feb., 1650 (C.P.C.), brother of Richard 1618. See Foster's Index Ecclesiasticus.",1621,devon
"Chichester, Richard","of Devon, gent. Wadham Coll., matric. 24 April, 1618, aged 18; of the Inner Temple 1620 (as son and heir of Hugh, of Widworthy, Devon), admon. 1 June, 1639, grandfather of John 1666, brother of John 1621. See Foster's Inns of Court Reg.",1618,devon
"Chidlowe, William","of London, gent. Corpus Christi Coll., matric. 9 Nov., 1621, aged 17; B.A. from All Souls' Coll. 22 Nov., 1625, M.A. from Queen's Coll. 15 July, 1628, sup. for licence to preach 7 July, 1636, B.D. 17 Dec., 1636, rector of St. Clement's alias St. Bride's, Oxford, 1630, recognised as chaplain of Corpus by the visitors in 1649; Robinson claims him for Merchant Taylors' School as Childley in 1614 (i. 80), he was born 7 Nov., 1602 (Burrows), ? rector of Cooley, or Cowley, co. Gloucester, 1652, rector of Hampstead Marshall, Berks, 1661. See also Chudleigh, post, & Foster's Index Ecclesiasticus.",1621,london,oxford,gloucester,berks
"Childe, Charles","of co. Worcester, pleb. Oriel Coll., matric. 21 March, 1616-17, aged 17; B.A. 5 May, 1620, M.A. 4 Dec., 1622, a student of the Inner Temple 1626, as 2nd son of William, of Northwick, co. Worcester, esq. See Foster's Inns of Court Reg. [30]",1616,worcester
"Childe, John","of London, gent. Magdalen Hall, matric. 11 June, 1619, aged 15; bar.-at-law, Inner Temple, 1630, as son of William, of London, gent. See Foster's Judges and Barristers.",1619,london
"Child, William","of Salop, pleb. Exeter Coll., matric. 6 May, 1608, aged 21; perhaps B.A. 12 Feb., 1617-18, rector of Middleton Scriven, Salop, 1626. See Foster's Index Ecclesiasticus.",1608,salop
"Chillingworth, William","of Oxon, pleb. Trinity Coll., matric. 15 Oct., 1619, aged 17; scholar, B.A. 28 June, 1620, M.A. 16 March, 1623-4 (incorp. at Cambridge 1626), created D.D. 1 Nov., 1642; Wood adds, perhaps in error, 'neither took up his degree, nor was he diplomated'; (son of William, citizen, and afterwards Mayor of Oxford), baptized in St. Martin's parish 31 Oct., 1602, turned Jesuit but recanted in 1631, canon of Chester 1635, and of Sarum 1638, chancellor of Salisbury Cathedral 1638, master of Wigston's Hospital, Leicester, died 24 Jan., 1643. See Ath., iii. 86; Fasti, ii. 52; Foster's Index Ecclesiasticus; & D.N.B.",1619,oxon,cambridge,chester,sarum,leicester
"Chippen, George","of Dorset, pleb. Exeter Coll., matric. 6 Feb., 1606-7, aged 14.",1606,dorset
"Chippingdale, John","of co. Lincoln, pleb. Lincoln Coll., matric. 1 July, 1603, aged 18; B.A. 28 Feb., 1605-6, M.A. 7 July, 1608, see preceding entry.",1603,lincoln
"Chiver, Henry (Chever)","of Wilts, pleb. Magdalen Hall, matric. 2 Nov., 1621, aged 19; son of Jerome.",1621,wilts
"Chiver, Oliver (Chever)","of Wilts, pleb. Magdalen Hall, matric. 3 Nov., 1615, aged 17; B.A. from Magdalen Coll. 13 Feb., 1617-18; M.A. from Magdalen Hall 25 April, 1621. See Robert 1612.",1615,wilts
"Chivers, Robert","of Wilts, pleb. Magdalen Hall, matric. 3 April, 1612, aged 18. See Oliver 1615. [40]",1612,wilts
"Chocke, Alexander","of Somerset, arm. Queen's Coll., matric. 19 May, 1609, aged 15; M.P. Ludgarshall 1621-2, the printed visitation pedigrees of Somerset and Berks seem to be at variance.",1609,somerset,berks
"Cholmondeley, Hugh (Cholmonley)","of co. Chester, 'militis fil.' Queen's Coll., matric. 8 May, 1607, aged 15; (3rd son of Sir Hugh and his wife Mary Holford), died 11 Sept., 1655, buried at Malpas, brother of Hatton and of Robert 1600.",1607,chester
"Chowne, Robert (Chune)","of Kent, gent. St. John's Coll., matric. 22 Oct., 1619, aged 19. [10]",1619,kent
"Christmas, Nicholas","of co. Southampton, pleb. Magdalen Hall, matric. 5 Dec., 1606, aged 17.",1606,southampton
"Chudleigh, John","of co. Devon, arm. fil. nat. max. Wadham Coll., matric. 1 June, 1621, aged 15; B.A. 7 Feb., 1623-4, (as eq. aur. fil.), created M.A. 22 July, 1626, incorp. at Cambridge 1629, M.P. East Looe 1626, (son and heir of Sir George, M.P.), died in his father's lifetime, admon. 10 May, 1634, brother of the last named. See Foster's Parliamentary Dictionary; Fasti, i. 428; & O.H.S., xii. 427.",1621,devon,cambridge
"Church, Joseph","s. John, of Newnham, Northants, pleb. Magdalen Coll., matric. 14 March, 1622-3, aged 18; B.A. from Magdalen Hall 6 July, 1626. See Calamy, i. 137.",1622,northants
"Church, Richard","of co. Chester, gent. Brasenose Coll., matric. 19 June, 1610, aged 16; of Gray's Inn 1612, as son and heir of Randle, of Nantwich, Cheshire. See Hall's History of Nantwich, 446; & Foster's Gray's Inn Reg.",1610,chester,cheshire
"Churchar, John","of Surrey, pleb. St. Edmund Hall, matric. 3 Feb., 1608-9, aged 17; B.A. from Balliol Coll. 19 Oct., 1612, M.A. 15 May, 1616. [20]",1608,surrey
"Churchill, John","of Dorset, gent. Queen's Coll., matric. 10 Nov., 1621, aged 18; B.A. 21 Oct., 1624; M.A. from St. Edmund Hall 26 May, 1627 (son of John, of Muston), rector of Steeple, Dorset, 1637, died 25 May, 1682. See Foster's Index Ecc. [30]",1621,dorset
"Churchman, Richard","of Leicester, pleb. Lincoln Coll., matric. 5 May, 1615, aged 16; B.A. 3 July, 1621.",1615,leicester,lincoln
"Churchman, William","of Salop, pleb. St. John's Coll., matric. 3 Nov., 1615, aged 16; B.A. from St. Alban Hall 3 June, 1619, M.A. 3 July, 1622, created B.D. 1 or 2 Nov., 1642.",1615,salop
"Clare, Henry","of co. Worcester, 'militis. fil.' St. John's Coll., matric. 8 March, 1604-5, aged 17; of the Middle Temple 1606, as son of Francis, of Caldwall, co. Worcester, knight; brother of Ralph 1597. See Foster's Inns of Court Reg.",1604,worcester
"Clarke, Cuthbert","of Somerset, pleb. Exeter Coll., matric. 17 Dec., 1619, aged 21; B.A. 7 Feb., 1623-4.",1619,somerset
"Clarke, Daniel","of co. Lincoln. Magdalen Coll., matric. 27 June, 1610, aged 17, 'paup. schol.'; B.A. from Magdalen Hall 17 Dec., 1612.",1610,lincoln
"Clarke, Edward","of Devon, pleb. Exeter Coll., matric. 14 Feb., 1611-12, aged 18; B.A. 12 Dec., 1616, M.A. 26 June, 1619, incorp. at Cambridge 1620. See Foster's Index Ecclesiasticus.",1611,devon,cambridge
"Clerke, Edward","1s. Edmund (rightly Edward), of Reading, Berks, arm. Magdalen Hall, matric. 28 Jan., 1624-5, aged 16; bar.-at-law, Lincoln's Inn, 1633, as son and heir of Sir Edward, of Reading, Berks, knt.; brother of John same date. See Foster's Judges and Barristers.",1624,berks
"Clarke, Gabriel","of Herts, gent. Christ Church, matric. 21 Feb., 1605-6, aged 17, B.A. 22 June, 1609, M.A. 14 May, 1612; incorp. at Cambridge 1616, and B.D. from Pembroke Hall. 1630, rector of Middleton Stoney, Oxon, 1616, archdeacon of Northumberland 1619, and of Durham 1621, canon of Lincoln 1615, chaplain to Dr. Neile, Bishop of Durham, canon of Durham 1619, and sub-dean, rector of Elwick, co. Durham, 1620-4, master of Gretham Hospital 1624, deprived of his preferments, but reinstated at the restoration, died 10 May, 1662. See Alumni West., 74; & Foster's Index Ecclesiasticus.",1605,herts,cambridge,pembroke,oxon,northumberland,durham,lincoln
"Clarke, George","s. Samuel, of London, sadler (gent.). Wadham Coll., matric. 31 Jan., 1622-3, aged 15; B. A. from Exeter Coll. 16 Dec., 1625, of Inner Temple 1626. See Foster's Inns of Court Reg.",1622,london
"Clarke, Gilbert","of co. Derby, pleb. Brasenose Coll., matric. 8 Dec., 1609, aged 17.",1609,derby
"Clerke, Henry","of co. Southampton, arm. University Coll., matric. 15 April, 1603, aged 16.",1603,southampton
"Clarke, Henry","of co. Warwick, arm. Magdalen Coll., matric. 16 June, 1610, aged 16; demy 1610-16, B.A. 21 Feb., 1611-12, M.A. 7 July, 1615, vicar of Willoughby, co. Warwick, 1621, buried there 12 March, 1634-5. See Bloxam, v. 33; & Foster's Index Ecclesiasticus. [15]",1610,warwick
"Clarke, Henry","of co. Warwick, pleb. Magdalen Coll., matric. 26 June, 1621, aged 16; demy 1620-30, B.A. 26 June, 1624, M.A. 12 July, 1628. See Bloxam, v. 105.",1621,warwick
"Clarke, Henry","s. William, of Cotleife, Devon, pleb. Oriel Coll., matric. 23 April, 1624, aged 21.",1624,devon
"Clarke, Jeffery","of Surrey, arm. Queen's Coll., matric. 30 June, 1615, aged 15; of Lincoln's Inn 1616, as son and heir of Geoffrey, of London, esq., deceased. See Foster's Inns of Court Reg.",1615,surrey,london
"Clerke, John","of co. Warwick, gent. Magdalen Hall, matric. 13 Nov., 1607, aged 16; B.A. from Queen's Coll., 16 Feb., 1609-10, bar.-at-law, Lincoln's Inn, 1615, bencher 1633, autumn reader 1634, serjt.-at-law 1648, declared illegal on the restoration (son of Jerome, of Willoughby, co. Warwick, arm.), perhaps brother of Samuel 1600. See Foster's Judges and Barristers.",1607,warwick
"Clerke, John","of co. Warwick, pleb. Magdalen Hall, matric. 1 Dec., 1609, aged 15; B.A. 16 Dec., 1611.",1609,warwick
"Clarke, John","of Dorset, 'cler. fil.' Oriel Coll., matric. 4 Dec., 1612. aged 21; B.A. 12 Feb., 1612-13, rector of Nether Compton, Dorset, 1625. See Foster's Index Ecclesiasticus.",1612,dorset
"Clarke, John (Clearke)","as Edward, of Reading, Berks, arm. Magdalen Hall, matric. 28 Jan., 1624-5, aged 13; B.A. 9 March, 1626-7. of Lincoln's Inn 1626, 'eq. fil.', brother of Edward same date. See Foster's Inns of Court Reg. [21]",1624,berks
"Clarke, Leonard (Clearke)","s. Thomas, of Kinwarton, co. Warwick, pleb. Balliol Coll., matric. 25 Dec., 1623, aged 18; B.A. from Trinity Coll. 6 Feb., 1625-6, M.A. 21 June, 1628, rector of Kinwarton 1629.",1623,warwick
"Clark, Nicholas","of co. Warwick, pleb. St. John's Coll., matric. 15 Nov., 1616, aged 18; B.A. from Gloucester Hall 12 May, 1619, one of these names sequestered to rectory of Southam, co. Warwick, 1647. See Add. MS., 15,671, pp. 209, 213.",1616,warwick,gloucester
"Clarke, Nicholas","pleb. Exeter Coll., matric. 26 April, 1621, aged 18; B.A. 25 April, 1621, M.A. 17 June, 1624, rector of Stowell, Somerset, 1631. See Foster's Index Ecclesiasticus. [26]",1621,somerset
"Clarke, Raphe","of co. Derby, gent. Brasenose Coll., matric. 8 Nov., 1611, aged 16; of the Inner Temple 1614, as of Chesterfield, co. Derby, gent. See Foster's Inns of Court Reg.",1611,derby
"Clarke, Richard","of co. Lincoln, pleb. Lincoln Coll., matric. 10 Nov., 1615, aged 17; B.A. 10 May, 1619, M.A. 26 June, 1622, B.D. 7 July, 1629, perhaps rector of Sudborough, Northants, 1621, etc. See Foster's Index Ecclesiasticus.",1615,lincoln,northants
"Clark, Richard","of Worcester (city), pleb. Gloucester Hall, matric. 24 Oct., 1623, aged 40; B.A. from Balliol Coll. 22 June, 1626, M.A. 28 April, 1629. See Foster's Index Ecclesiasticus.",1623,worcester,gloucester
"Clarke, Sabaoth","of co. Stafford, pleb. Christ Church, matric. 15 April, 1608, aged [2-]; B.A. 1 Feb., 1610-11, vicar of Tarvin, Cheshire, 1622, father of Josias 1641. See Calamy, i. 342; & Foster's Index Ecclesiasticus.",1608,stafford,cheshire
"Clarke, Thomas","of London, 'cler. fil.' St. John's Coll., matric. 13 July, 1604, aged 16; B.A. 27 June, 1608, M.A. 4 July, 1612. See Robinson, i. 42.",1604,london
"Clarke, Thomas","of Dorset, pleb. Broadgates Hall, matric. 2 Dec., 1608, aged 18; of the Inner Temple 1611, as son of John, of Turnerspuddle, Dorset, gent. See Foster's Inns of Court Reg.",1608,dorset
"Clarke, Thomas","of co. Oxon, 'paup. schol.' All Souls' Coll., matric. 22 June, 1610, aged 14.",1610,oxon
"Clarke, Thomas","'cler. fil.' St. Mary Hall, matric. 22 May, 1612, aged 18; B.A. 15 Feb., 1614-15.",1612
"Clarke, Thomas","pleb. Exeter Coll., matric. 26 April, 1621, aged 16; B.A. 25 April, 1621. [15]",1621
"Clarke, Walter","of co. Oxon, pleb. Magdalen Hall, matric. 30 March, 1610, aged 17; demy Magdalen Coll., 1611-15, B.A. 10 Feb., 1613-14, fellow 1615-38, M.A. 15 Jan., 1616-17 (incorp. at Cambridge 1623), B.D. 24 April, 1627, licenced to preach 29 Oct., 1634, D.D. 5 July, 1639, vice-president 1631, 1638, vicar of Brackley, Northants, 1621, rector of Burghfield, Berks, 1639. See Foster's Index Ecclesiasticus & Bloxam, v. 42.",1610,oxon,cambridge,northants,berks
"Clarkson, George","s. Thomas, of Newcastle-on-Tyne, Northumberland, gent. Trinity Coll., matric. 11 June, 1624, aged 12, B.A. 11 Feb., 1627-8; M.A. from St. Edmund Hall 24 Jan., 1631-2.",1624,northumberland
